transaction_id,customer_id,product_id,store_id,transaction_date,year,month,quarter,day_of_week,quantity,unit_price,discount_amount,total_revenue,gross_profit,payment_method,channel,order_status,is_returned,delivery_days
TXN000001,CUST05672,PROD0049,ST017,2022-06-05,2022,6,Q2,Sunday,2,80.46,0.0,160.92,61.15,Debit Card,In-Store,Completed,0,3.0
TXN000002,CUST04679,PROD0053,ST001,2023-11-25,2023,11,Q4,Saturday,3,9.88,1.48,31.11,6.2,Google Pay,Online,Completed,0,3.0
TXN000003,CUST06238,PROD0030,ST010,2022-10-29,2022,10,Q4,Saturday,5,60.42,0.0,0.0,0.0,Debit Card,In-Store,Returned,1,2.0
TXN000004,CUST00282,PROD0014,ST019,2023-08-25,2023,8,Q3,Friday,4,1.99,0.0,7.96,3.58,Credit Card,In-Store,Completed,0,2.0
TXN000005,CUST06821,PROD0073,ST015,2024-03-07,2024,3,Q1,Thursday,4,34.1,0.0,136.4,57.29,Apple Pay,In-Store,Completed,0,2.0
TXN000006,CUST03105,PROD0074,ST015,2023-02-24,2023,2,Q1,Friday,3,74.12,11.12,211.24,88.72,PayPal,Online,Completed,0,3.0
TXN000007,CUST07906,PROD0057,ST018,2022-04-22,2022,4,Q2,Friday,1,7.93,1.19,6.74,1.48,Debit Card,Online,Completed,0,2.0
TXN000008,CUST04093,PROD0028,ST008,2023-11-04,2023,11,Q4,Saturday,1,93.78,4.69,0.0,0.0,Google Pay,In-Store,Returned,1,1.0
TXN000009,CUST07590,PROD0043,ST017,2024-10-11,2024,10,Q4,Friday,2,59.8,0.0,119.6,45.45,PayPal,Online,Completed,0,1.0
TXN000010,CUST00566,PROD0060,ST019,2023-07-14,2023,7,Q3,Friday,1,29.71,2.97,26.74,5.88,Gift Card,In-Store,Completed,0,0.0
TXN000011,CUST05487,PROD0016,ST015,2024-04-29,2024,4,Q2,Monday,2,35.32,0.0,70.64,31.79,Apple Pay,Online,Completed,0,2.0
TXN000012,CUST00975,PROD0033,ST010,2022-09-03,2022,9,Q3,Saturday,1,27.76,2.78,24.98,12.99,PayPal,In-Store,Completed,0,0.0
TXN000013,CUST01043,PROD0021,ST005,2023-02-05,2023,2,Q1,Sunday,1,148.28,7.41,140.87,49.3,Credit Card,Mobile App,Completed,0,2.0
TXN000014,CUST03281,PROD0009,ST008,2024-05-22,2024,5,Q2,Wednesday,2,123.66,37.1,210.22,58.86,Credit Card,Online,Completed,0,7.0
TXN000015,CUST02563,PROD0038,ST001,2024-05-14,2024,5,Q2,Tuesday,2,1.99,0.2,3.78,1.97,Debit Card,In-Store,Completed,0,0.0
TXN000016,CUST04836,PROD0061,ST006,2023-07-24,2023,7,Q3,Monday,2,10.21,1.02,19.4,7.76,Apple Pay,Online,Completed,0,7.0
TXN000017,CUST04073,PROD0059,ST002,2022-05-14,2022,5,Q2,Saturday,1,21.98,0.0,21.98,4.84,Debit Card,Online,Completed,0,2.0
TXN000018,CUST06156,PROD0005,ST007,2024-02-22,2024,2,Q1,Thursday,1,151.9,0.0,151.9,42.53,PayPal,Mobile App,Completed,0,5.0
TXN000019,CUST07047,PROD0054,ST010,2022-06-07,2022,6,Q2,Tuesday,1,25.34,1.27,24.07,5.3,Debit Card,Online,Completed,0,1.0
TXN000020,CUST04409,PROD0020,ST013,2022-07-04,2022,7,Q3,Monday,1,5.57,0.0,0.0,0.0,Debit Card,Online,Cancelled,0,2.0
TXN000021,CUST00924,PROD0014,ST007,2023-07-01,2023,7,Q3,Saturday,1,1.99,0.2,1.79,0.81,Debit Card,Online,Completed,0,2.0
TXN000022,CUST05792,PROD0064,ST012,2023-04-11,2023,4,Q2,Tuesday,1,3.04,0.15,2.89,1.16,Debit Card,Online,Completed,0,2.0
TXN000023,CUST01240,PROD0060,ST003,2024-12-02,2024,12,Q4,Monday,2,29.71,2.97,61.96,12.42,Debit Card,In-Store,Completed,0,0.0
TXN000024,CUST04918,PROD0038,ST020,2022-03-06,2022,3,Q1,Sunday,4,1.99,0.0,7.96,4.14,PayPal,Mobile App,Completed,0,2.0
TXN000025,CUST00957,PROD0058,ST009,2023-11-19,2023,11,Q4,Sunday,2,14.29,0.0,31.45,6.29,Credit Card,In-Store,Completed,0,7.0
TXN000026,CUST03056,PROD0019,ST009,2022-09-02,2022,9,Q3,Friday,1,23.22,3.48,19.74,8.88,PayPal,Mobile App,Completed,0,2.0
TXN000027,CUST05891,PROD0026,ST006,2023-10-31,2023,10,Q4,Tuesday,2,80.55,0.0,161.1,56.38,Apple Pay,Online,Completed,0,2.0
TXN000028,CUST00308,PROD0034,ST002,2022-11-08,2022,11,Q4,Tuesday,1,8.96,0.45,9.32,4.43,Apple Pay,Online,Completed,0,2.0
TXN000029,CUST06906,PROD0003,ST009,2022-03-01,2022,3,Q1,Tuesday,1,257.72,0.0,257.72,72.16,Apple Pay,Mobile App,Completed,0,2.0
TXN000030,CUST05119,PROD0056,ST007,2023-06-05,2023,6,Q2,Monday,1,29.18,4.38,0.0,0.0,PayPal,In-Store,Returned,1,0.0
TXN000031,CUST01018,PROD0012,ST002,2022-04-17,2022,4,Q2,Sunday,1,38.7,3.87,0.0,0.0,Debit Card,In-Store,Cancelled,0,2.0
TXN000032,CUST01863,PROD0070,ST011,2024-11-04,2024,11,Q4,Monday,1,18.87,2.83,19.12,6.74,PayPal,In-Store,Completed,0,2.0
TXN000033,CUST01052,PROD0012,ST013,2023-10-19,2023,10,Q4,Thursday,1,38.7,5.81,32.89,14.8,Google Pay,Online,Completed,0,5.0
