customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_avg,segment,age_group,gender,region,loyalty_tier,is_active
CUST00001,13,7,380.45,4,3,2,432,3.0,Loyal,65+,Female,South East,Bronze,True
CUST00002,384,7,402.58,1,3,2,132,2.0,Lost,18-24,Male,London,Bronze,True
CUST00003,193,4,392.61,2,1,2,212,1.67,Needs Attention,45-54,Prefer not to say,South East,Gold,True
CUST00004,22,6,1156.92,4,2,4,424,3.33,Loyal,25-34,Female,London,Bronze,False
CUST00005,97,6,513.59,3,2,3,323,2.67,Loyal,65+,Female,East of England,Platinum,True
CUST00006,190,7,1902.8999999999999,2,3,4,234,3.0,At Risk,65+,Male,London,Bronze,False
CUST00007,369,4,187.57,1,1,1,111,1.0,Lost,45-54,Female,East of England,Gold,True
CUST00008,192,6,251.98,2,2,1,221,1.67,At Risk,55-64,Prefer not to say,London,Silver,True
CUST00009,156,3,115.78,2,1,1,211,1.33,Needs Attention,18-24,Male,North West,Gold,True
CUST00010,143,4,570.48,2,1,3,213,2.0,Needs Attention,65+,Female,South West,Gold,True
CUST00011,14,8,654.09,4,4,3,443,3.67,Champion,65+,Prefer not to say,South West,Silver,True
CUST00012,25,8,979.35,4,4,4,444,4.0,Champion,18-24,Male,London,Bronze,True
CUST00013,179,7,275.29999999999995,2,3,2,232,2.33,At Risk,55-64,Female,Wales,Gold,True
CUST00014,321,5,301.93,1,2,2,122,1.67,Lost,18-24,Female,South West,Silver,False
CUST00015,118,5,347.60999999999996,3,2,2,322,2.33,Loyal,65+,Female,North West,Silver,True
CUST00016,276,5,1411.97,1,2,4,124,2.33,Lost,55-64,Female,East of England,Bronze,False
CUST00017,73,10,1242.6599999999999,3,4,4,344,3.67,Champion,18-24,Male,North West,Platinum,True
CUST00018,513,4,239.76,1,1,1,111,1.0,Lost,25-34,Prefer not to say,East of England,Silver,True
CUST00019,106,7,1263.17,3,3,4,334,3.33,Champion,55-64,Prefer not to say,West Midlands,Silver,False
CUST00020,155,8,214.19,2,4,1,241,2.33,At Risk,55-64,Female,London,Bronze,True
CUST00021,160,10,2188.17,2,4,4,244,3.33,At Risk,18-24,Male,Yorkshire,Bronze,False
CUST00022,92,8,1057.99,3,4,4,344,3.67,Champion,55-64,Male,South East,Silver,True
CUST00023,76,7,1315.29,3,3,4,334,3.33,Champion,45-54,Female,London,Bronze,True
CUST00024,59,4,1709.0700000000002,3,1,4,314,2.67,New Customer,65+,Prefer not to say,Wales,Bronze,True
CUST00025,177,7,534.69,2,3,3,233,2.67,At Risk,25-34,Male,East of England,Bronze,True
CUST00026,278,5,194.23999999999998,1,2,1,121,1.33,Lost,55-64,Male,London,Platinum,False
CUST00027,21,8,1482.87,4,4,4,444,4.0,Champion,45-54,Female,East of England,Gold,True
CUST00028,72,8,470.08000000000004,3,4,2,342,3.0,Loyal,45-54,Female,South West,Platinum,True
CUST00029,121,8,1141.11,3,4,4,344,3.67,Champion,55-64,Prefer not to say,East Midlands,Silver,True
CUST00030,240,7,271.98,2,3,1,231,2.0,At Risk,55-64,Male,North West,Bronze,True
CUST00031,146,7,307.85,2,3,2,232,2.33,At Risk,55-64,Male,East Midlands,Bronze,True
CUST00032,733,4,345.71,1,1,2,112,1.33,Lost,25-34,Prefer not to say,Yorkshire,Bronze,True
CUST00033,289,3,78.64,1,1,1,111,1.0,Lost,35-44,Male,London,Silver,True
CUST00034,324,5,238.09,1,2,1,121,1.33,Lost,35-44,Male,North West,Bronze,True
CUST00035,486,5,176.5,1,2,1,121,1.33,Lost,65+,Prefer not to say,South East,Silver,True
CUST00036,205,8,298.42,2,4,2,242,2.67,At Risk,35-44,Prefer not to say,London,Bronze,True
CUST00037,62,8,534.99,3,4,3,343,3.33,Champion,65+,Female,North West,Bronze,True
CUST00038,21,3,241.85000000000002,4,1,1,411,2.0,New Customer,65+,Female,East Midlands,Bronze,True
CUST00039,166,6,407.93,2,2,2,222,2.0,At Risk,35-44,Prefer not to say,East Midlands,Bronze,True
CUST00040,107,6,676.19,3,2,3,323,2.67,Loyal,25-34,Prefer not to say,South East,Bronze,False
CUST00041,147,7,374.96,2,3,2,232,2.33,At Risk,25-34,Male,North East,Bronze,True
CUST00042,10,4,296.48,4,1,2,412,2.33,New Customer,25-34,Prefer not to say,London,Gold,True
CUST00043,88,6,575.27,3,2,3,323,2.67,Loyal,35-44,Male,South East,Silver,True
CUST00044,63,9,1083.75,3,4,4,344,3.67,Champion,35-44,Prefer not to say,East of England,Silver,False
CUST00045,73,7,482.56,3,3,2,332,2.67,Loyal,55-64,Female,London,Silver,True
CUST00046,103,7,961.8599999999999,3,3,4,334,3.33,Champion,45-54,Prefer not to say,London,Bronze,True
CUST00047,57,6,809.58,3,2,3,323,2.67,Loyal,45-54,Male,Scotland,Gold,True
CUST00048,262,3,122.74000000000001,1,1,1,111,1.0,Lost,65+,Female,South East,Silver,True
CUST00049,323,3,196.46,1,1,1,111,1.0,Lost,55-64,Prefer not to say,South East,Silver,True
CUST00050,330,2,158.48,1,1,1,111,1.0,Lost,45-54,Female,South West,Bronze,True
CUST00051,7,5,884.6899999999999,4,2,4,424,3.33,Loyal,35-44,Prefer not to say,West Midlands,Silver,True
CUST00052,109,7,639.1800000000001,3,3,3,333,3.0,Champion,25-34,Male,London,Bronze,True
CUST00053,94,8,968.3,3,4,4,344,3.67,Champion,45-54,Prefer not to say,East Midlands,Silver,True
CUST00054,118,3,150.34,3,1,1,311,1.67,New Customer,18-24,Female,London,Gold,True
CUST00055,300,5,359.34000000000003,1,2,2,122,1.67,Lost,25-34,Female,West Midlands,Platinum,False
CUST00056,158,6,239.89999999999998,2,2,1,221,1.67,At Risk,25-34,Prefer not to say,North West,Silver,False
CUST00057,900,2,233.1,1,1,1,111,1.0,Lost,35-44,Female,London,Bronze,True
